WebQTrn-0	what is the name of justin bieber brother?	what is the name of justin bieber brother
WebQTrn-1	what character did natalie portman play in star wars?	what character did natalie portman play in star wars
WebQTrn-2	what state does selena gomez?	what state does selena gomez
WebQTrn-3	what country is the grand bahama island in?	what country is the grand bahama island in
WebQTrn-4	what kind of money to take to bahamas?	what kind of money to take to bahamas
WebQTrn-5	what character did john noble play in lord of the rings?	what character did john noble play in lord of the rings
WebQTrn-6	who does joakim noah play for?	who does joakim noah play for
WebQTrn-7	where are the nfl redskins from?	where are the nfl redskins from
WebQTrn-8	where did saki live?	where did saki live
WebQTrn-9	how old is sacha baron cohen?	how old is sacha baron cohen
WebQTrn-10	what two countries invaded poland in the beginning of ww2?	what two countries invaded poland in the beginning of ww2
WebQTrn-11	what time zone am i in cleveland ohio?	what time zone am i in cleveland ohio
WebQTrn-12	who did draco malloy end up marrying?	who did draco malloy end up marrying
WebQTrn-13	which countries border the us?	which countries border the us
WebQTrn-14	where is rome italy located on a map?	where is rome italy located on a map
WebQTrn-15	what is nina dobrev nationality?	what is nina dobrev nationality
WebQTrn-16	what country does iceland belong to?	what country does iceland belong to
WebQTrn-17	which kennedy died first?	which kennedy died first
WebQTrn-18	what books did beverly cleary right?	what books did beverly cleary right
WebQTrn-19	who did the philippines gain independence from?	who did the philippines gain independence from
WebQTrn-20	where to fly into bali?	where to fly into bali
WebQTrn-21	who is the prime minister of ethiopia?	who is the prime minister of ethiopia
WebQTrn-22	what to see near sedona arizona?	what to see near sedona arizona
WebQTrn-23	what high school did president bill clinton attend?	what high school did president bill clinton attend
WebQTrn-24	what form of government does russia have today?	what form of government does russia have today
WebQTrn-25	what movies does taylor lautner play in?	what movies does taylor lautner play in
WebQTrn-26	what year lebron james came to the nba?	what year lebron james came to the nba
WebQTrn-27	what did the german revolution lead to?	what did the german revolution lead to
WebQTrn-28	how much did adriana lima gain during pregnancy?	how much did adriana lima gain during pregnancy
WebQTrn-29	what does thai mean?	what does thai mean
WebQTrn-30	which wife did king henry behead?	which wife did king henry behead
WebQTrn-31	who was ishmael's mom?	who was ishmael 's mom
WebQTrn-32	what was malcolm x trying to accomplish?	what was malcolm x trying to accomplish
WebQTrn-33	where are the netherlands on a world map?	where are the netherlands on a world map
WebQTrn-34	what is the president of brazil?	what is the president of brazil
WebQTrn-35	what are the major cities in france?	what are the major cities in france
WebQTrn-36	what city did esther live in?	what city did esther live in
WebQTrn-37	what sport do the toronto maple leafs play?	what sport do the toronto maple leafs play
WebQTrn-38	what is saint nicholas known for?	what is saint nicholas known for
WebQTrn-39	when is the new series of the only way is essex starting?	when is the new series of the only way is essex starting
WebQTrn-40	what is cher's son's name?	what is cher 's son 's name
WebQTrn-41	what is martin cooper doing now?	what is martin cooper doing now
WebQTrn-42	what party was andrew jackson?	what party was andrew jackson
WebQTrn-43	what is medicare a?	what is medicare a
WebQTrn-44	what county is the city of hampton va in?	what county is the city of hampton va in
WebQTrn-45	what is the name of the first harry potter novel?	what is the name of the first harry potter novel
WebQTrn-46	what did william shakespeare do for a living?	what did william shakespeare do for a living
WebQTrn-47	what county is heathrow airport in?	what county is heathrow airport in
WebQTrn-48	where did dmitri mendeleev study science?	where did dmitri mendeleev study science
WebQTrn-49	what movie is josh hutcherson in?	what movie is josh hutcherson in
WebQTrn-50	what is there to do in laredo tx?	what is there to do in laredo tx
WebQTrn-51	what season did tony soprano get shot?	what season did tony soprano get shot
WebQTrn-52	where do the san francisco giants play home games?	where do the san francisco giants play home games
WebQTrn-53	what year did william jennings bryan run for president?	what year did william jennings bryan run for president
WebQTrn-54	what was the name of frederick douglass book?	what was the name of frederick douglass book
WebQTrn-55	who was queen victoria's parents called?	who was queen victoria 's parents called
WebQTrn-56	what movies did sally field win an oscar for?	what movies did sally field win an oscar for
WebQTrn-57	what is the first book sherlock holmes appeared in?	what is the first book sherlock holmes appeared in
WebQTrn-58	what type of car does michael weston drive?	what type of car does michael weston drive
WebQTrn-59	where does lena river begin and end?	where does lena river begin and end
WebQTrn-60	what countries do people speak portuguese?	what countries do people speak portuguese
WebQTrn-61	where to exchange euros in pittsburgh?	where to exchange euros in pittsburgh
WebQTrn-62	what are the names of walt disney kids?	what are the names of walt disney kids
WebQTrn-63	who is in the band bush?	who is in the band bush
WebQTrn-64	what was tupac name in juice?	what was tupac name in juice
WebQTrn-65	what timezone is australia gmt?	what timezone is australia gmt
WebQTrn-66	who does maggie grace play in taken?	who does maggie grace play in taken
WebQTrn-67	what style of music did louis armstrong play?	what style of music did louis armstrong play
WebQTrn-68	when is summer in australia sydney?	when is summer in australia sydney
